CharacterName,Class,Lev,StageIdx,PositionX,PositionY
player596,2,50,101003010,-8874.04,-20179.1
player597,1,30,101003030,-18068.1,-20216.3
player598,2,120,201003020,4002.39,-15631.7
player599,3,1,100004010,10191.9,17800.6
player600,5,20,101003020,4835.35,-4547.15
player601,2,1,100004010,10259.8,17468
player602,3,99,101001010,-33.4004,2164.82
player603,1,99,101003030,864.573,-13386.8
player604,3,3,100002010,-7165.55,-11971.4
player605,4,120,101003010,-16906.3,19873.7
player606,3,120,101005010,151.456,2052.4
player607,2,36,102004050,5480,-7460
player608,1,36,102004050,2374.02,-3535.76
player609,2,36,100004010,10110.8,17367.7
player610,2,36,101003020,2893.78,557.227
player611,1,6,100004010,2114.75,14869.2
player612,1,120,100004010,19949.6,11907.1
player613,3,9,101003010,-3793.16,17250
player614,2,120,101001010,2053.62,-4252.12
player615,2,96,100004010,9499.84,17725.7
player616,1,20,900000000,-2540.08,-20310.7
player617,2,3,100002010,-359.416,-2408.4
player618,1,120,101003020,4327.2,973.532
player619,3,120,101003020,3673.63,52.7152
player620,1,2,100004020,770,-900
player621,4,120,101003020,4360.06,310.176
player622,5,120,101003020,4014.32,-417.731
player623,1,4,100002012,3876.78,-2473.28
player624,1,120,101003020,3953.48,701.495
player625,3,1,100004010,10060.3,17655.3
player626,4,1,100004010,12391.3,16653.8
player627,1,43,101003030,5826.39,-40066.1
player628,2,1,100004010,8918.53,18302.4
player629,1,4,100002012,-263.11,-2150.95
player630,2,45,103003020,-4453.78,478.194
player631,1,40,900000002,-187.988,-1569.63
player632,3,5,100002020,3759.86,10578.9
player633,3,30,101001010,-1059.61,1277.64
player634,3,40,900000002,-99.5718,-1770.92
player635,2,2,100004020,6784.27,2487.52
player636,2,37,102003010,-8623.93,-7157
player637,3,49,201100010,-14727.5,-5858.12
player638,2,3,100002010,-7184.03,-11896.7
player639,3,29,101004030,-21836.8,-7942.53
player640,3,13,101003010,-5465.39,-8945.17
player641,1,6,101003010,-17059.3,20379.5
player642,3,31,101003030,-9556.91,-28765.4
player643,2,53,103003020,-8224.68,8400.01
player644,1,2,100004020,108.548,190.602
player645,1,15,101003010,-4138.84,-9326.11
player646,3,44,101001010,-240.572,1451.29
player647,3,1,100004010,4841,17174
player648,3,41,900000002,-124.178,-1778.13
player649,4,4,100002010,10190.2,-7108.09
player650,2,30,101003010,-6754.35,-5299.94
player651,3,43,102004070,3806.23,415.592
player652,2,28,900000002,-3407.29,2723.08
player653,2,1,100004010,4841,17174
player654,2,1,100004010,17240,13190
player655,2,41,900000002,3812.3,1480.11
player656,1,1,100004010,4841,17174
player657,2,5,100002020,-1009.6,-1191.37
player658,1,2,100004010,19370.8,11968.7
player659,2,1,100004010,4841,17174
player660,5,1,100004010,1986.38,15086.1
player661,3,4,100002010,2894.92,-3799.04
player662,2,1,100004010,4841,17174
player663,1,1,100004010,4841,17174
